Date,Plant,CalculatedDate,Version,Value,DateTime
2020-11-15,Iona Island,2020/11/15,7,2360,2020-11-15T09:00:00Z
2020-11-22,Iona Island,2020/11/22,7,8797,2020-11-22T09:00:00Z
2020-11-29,Iona Island,2020/11/29,7,7145,2020-11-29T09:00:00Z
2020-12-06,Iona Island,2020/12/06,7,7818,2020-12-06T09:00:00Z
2020-12-13,Iona Island,2020/12/13,7,2032,2020-12-13T09:00:00Z
2020-12-20,Iona Island,2020/12/20,2,0,2020-12-20T08:00:00Z
2020-12-27,Iona Island,2020/12/27,3,0,2020-12-27T08:00:00Z
2021-01-03,Iona Island,2021/01/03,2,0,2021-01-03T08:00:00Z
2021-01-10,Iona Island,2021/01/10,4,22210,2021-01-10T08:00:00Z
2021-01-17,Iona Island,2021/01/17,4,3478,2021-01-17T08:00:00Z
2021-01-24,Iona Island,2021/01/24,4,12961,2021-01-24T08:00:00Z
2021-01-31,Iona Island,2021/01/31,3,15304,2021-01-31T08:00:00Z
2021-02-07,Iona Island,2021/02/07,4,11428,2021-02-07T08:00:00Z
2021-02-14,Iona Island,2021/02/14,4,8790,2021-02-14T08:00:00Z
2021-02-21,Iona Island,2021/02/21,3,28490,2021-02-21T08:00:00Z
2021-02-28,Iona Island,2021/02/28,4,29920,2021-02-28T08:00:00Z
2021-03-07,Iona Island,2021/03/07,5,20900,2021-03-07T08:00:00Z
2021-03-14,Iona Island,2021/03/14,4,19306,2021-03-14T08:00:00Z
2021-03-21,Iona Island,2021/03/21,1,33471,2021-03-21T07:00:00Z
2021-03-28,Iona Island,2021/03/28,4,38812,2021-03-28T07:00:00Z
2021-04-04,Iona Island,2021/04/04,1,77938,2021-04-04T07:00:00Z
2021-04-11,Iona Island,2021/04/11,1,46613,2021-04-11T07:00:00Z
2021-04-18,Iona Island,2021/04/18,2,68487,2021-04-18T07:00:00Z
2021-04-25,Iona Island,2021/04/25,1,44483,2021-04-25T07:00:00Z
2021-05-02,Iona Island,2021/05/02,4,22800,2021-05-02T07:00:00Z
2021-05-09,Iona Island,2021/05/09,4,23188,2021-05-09T07:00:00Z
2021-05-16,Iona Island,2021/05/16,5,26690,2021-05-16T07:00:00Z
2021-05-23,Iona Island,2021/05/23,6,20193,2021-05-23T07:00:00Z
2021-05-30,Iona Island,2021/05/30,4,6956,2021-05-30T07:00:00Z
2021-06-06,Iona Island,2021/06/06,5,7697,2021-06-06T07:00:00Z
2021-06-13,Iona Island,2021/06/13,4,5502,2021-06-13T07:00:00Z
2021-06-20,Iona Island,2021/06/20,4,10620,2021-06-20T07:00:00Z
2021-06-27,Iona Island,2021/06/27,1,1236,2021-06-27T07:00:00Z
2021-07-04,Iona Island,2021/07/04,4,4479,2021-07-04T07:00:00Z
2021-07-11,Iona Island,2021/07/11,4,1240,2021-07-11T07:00:00Z
2021-07-18,Iona Island,2021/07/18,4,0,2021-07-18T07:00:00Z
2021-07-25,Iona Island,2021/07/25,4,4424,2021-07-25T07:00:00Z
2021-08-01,Iona Island,2021/08/01,4,11560,2021-08-01T07:00:00Z
2021-08-07,Iona Island,2021/08/07,2,9960,2021-08-07T07:00:00Z
2021-08-14,Iona Island,2021/08/14,5,32330,2021-08-14T07:00:00Z
2021-08-18,Iona Island,2021/08/18,5,59651,2021-08-18T07:00:00Z
2021-08-21,Iona Island,2021/08/21,5,52337,2021-08-21T07:00:00Z
2021-08-23,Iona Island,2021/08/23,5,42635,2021-08-23T07:00:00Z
2021-08-25,Iona Island,2021/08/25,5,80894,2021-08-25T07:00:00Z
2021-08-28,Iona Island,2021/08/28,5,52440,2021-08-28T07:00:00Z
2021-08-30,Iona Island,2021/08/30,5,21736,2021-08-30T07:00:00Z
2021-09-01,Iona Island,2021/09/01,5,25083,2021-09-01T07:00:00Z
2021-09-04,Iona Island,2021/09/04,6,16603,2021-09-04T07:00:00Z
2021-09-06,Iona Island,2021/09/06,5,12314,2021-09-06T07:00:00Z
2021-09-08,Iona Island,2021/09/08,5,16194,2021-09-08T07:00:00Z
2021-09-11,Iona Island,2021/09/11,6,19604,2021-09-11T07:00:00Z
2021-09-13,Iona Island,2021/09/13,5,20575,2021-09-13T07:00:00Z
2021-09-15,Iona Island,2021/09/15,5,17921,2021-09-15T07:00:00Z
2021-09-18,Iona Island,2021/09/18,4,7021,2021-09-18T07:00:00Z
2021-09-20,Iona Island,2021/09/20,5,18800,2021-09-20T07:00:00Z
2021-09-22,Iona Island,2021/09/22,5,20360,2021-09-22T07:00:00Z
2021-09-25,Iona Island,2021/09/25,4,13156,2021-09-25T07:00:00Z
2021-09-27,Iona Island,2021/09/27,5,7983,2021-09-27T07:00:00Z
2021-09-29,Iona Island,2021/09/29,5,11392,2021-09-29T07:00:00Z
2021-10-02,Iona Island,2021/10/02,2,11745,2021-10-02T07:00:00Z
2021-10-04,Iona Island,2021/10/04,5,9241,2021-10-04T07:00:00Z
2021-10-06,Iona Island,2021/10/06,5,13531,2021-10-06T07:00:00Z
2021-10-09,Iona Island,2021/10/09,5,7761,2021-10-09T07:00:00Z
2021-10-11,Iona Island,2021/10/11,5,11519,2021-10-11T07:00:00Z
2021-10-13,Iona Island,2021/10/13,4,9731,2021-10-13T07:00:00Z
2021-10-16,Iona Island,2021/10/16,4,3008,2021-10-16T07:00:00Z
2021-10-18,Iona Island,2021/10/18,4,4775,2021-10-18T07:00:00Z
2021-10-20,Iona Island,2021/10/20,4,6664,2021-10-20T07:00:00Z
2021-10-23,Iona Island,2021/10/23,4,12164,2021-10-23T07:00:00Z
2021-10-25,Iona Island,2021/10/25,4,8964,2021-10-25T07:00:00Z
2021-10-27,Iona Island,2021/10/27,4,10973,2021-10-27T07:00:00Z
2021-10-30,Iona Island,2021/10/30,4,9033,2021-10-30T07:00:00Z
2021-11-01,Iona Island,2021/11/01,4,6620,2021-11-01T07:00:00Z
2021-11-03,Iona Island,2021/11/03,8,NA,2021-11-03T07:00:00Z
2021-11-06,Iona Island,2021/11/06,4,5844,2021-11-06T07:00:00Z
2021-11-08,Iona Island,2021/11/08,4,1784,2021-11-08T08:00:00Z
2021-11-10,Iona Island,2021/11/10,4,4062,2021-11-10T08:00:00Z
2021-11-13,Iona Island,2021/11/13,4,3123,2021-11-13T08:00:00Z
2021-11-15,Iona Island,2021/11/15,4,883,2021-11-15T08:00:00Z
2021-11-17,Iona Island,2021/11/17,4,3452,2021-11-17T08:00:00Z
2021-11-20,Iona Island,2021/11/20,4,3836,2021-11-20T08:00:00Z
2021-11-22,Iona Island,2021/11/22,4,1596,2021-11-22T08:00:00Z
2021-11-24,Iona Island,2021/11/24,3,5108,2021-11-24T08:00:00Z
2021-11-27,Iona Island,2021/11/27,3,4874,2021-11-27T08:00:00Z
2021-11-29,Iona Island,2021/11/29,3,2974,2021-11-29T08:00:00Z
2021-12-01,Iona Island,2021/12/01,4,1997,2021-12-01T08:00:00Z
2021-12-04,Iona Island,2021/12/04,4,2589,2021-12-04T08:00:00Z
2021-12-06,Iona Island,2021/12/06,4,2791,2021-12-06T08:00:00Z
2021-12-08,Iona Island,2021/12/08,4,5007,2021-12-08T08:00:00Z
